raw_activity,clean_activity
Board Up Services for Commercial Locations | Board Up Services for Residential Locations,Home Repair Services
Board Up Services for Commercial Locations,Home Repair Services
Residential Construction / Minor Home Repair Services | Excavation Services,Home Repair Services
Carpet Cleaning Services,Home Repair Services
Miscellaneous Commercial Services | Home Repair / Handy Man Services,Home Repair Services
Commercial Janitorial Services | Residential Cleaning Services | Snowplowing,Home Repair Services
Residential Remodeling and Repair (Home Based Business) | Property Management / Real Estate Management (Home Based Business),Home Repair Services
Board Up Services,Home Repair Services
"Other Home Based Businesses | Power-Washing Service (Home Based Business) | Window Washer, Vehicle Washer (Home Based Business)",Home Repair Services
Home Repair Services | Miscellaneous Commercial Services | Residential Cleaning Services,Home Repair Services
Home Repair Services | Miscellaneous Commercial Services,Home Repair Services
"Window Tinting, Body Work, Painting",Home Repair Services
Locksmith Services (Home Based Business),Home Repair Services
"Window Tinting, Body Work, Painting | Repair/Replace Upholstery",Home Repair Services
Residential Construction / Minor Home Repair Services | Retail Sales of General Merchandise and Non-Perishable Food,Home Repair Services
Home Repair Services | Retail Sales of General Merchandise and Non-Perishable Food,Home Repair Services
Commercial Janitorial Services | Residential Cleaning Services | Hair Services,Home Repair Services
Other Home Based Businesses | Residential Remodeling and Repair (Home Based Business),Home Repair Services
Other Home Based Businesses | Residential Cleaning (Home Based Business) | Telephone Answering Service (Home Based Business),Home Repair Services
"Provide Business and Management Consulting | Flooring and Window Install, Repair or Replace (Home Based Business) | Home Repair Services (Home Based Business) | Interior Design / Consulting Services (Home Based Business) | Power-Washing Service (Home Based Business) | Residential Cleaning (Home Based Business) | Residential Cleaning Services | Residential Construction / Minor Home Repair Services | Residential Remodeling and Repair (Home Based Business)",Home Repair Services
Commercial Construction | Electronic Equipment Repair | Residential Construction / Minor Home Repair Services,Home Repair Services
"Home Repair Services | Preparation of License, Certificate or Permit Applications for Compensation (Expediter Company) | Home Repair / Handy Man Services",Home Repair Services
Carpet Cleaning Services | Commercial Janitorial Services | Residential Cleaning Services | Upholstery Cleaning/Repair - Offsite,Home Repair Services
Residential Cleaning (Home Based Business) | Residential Remodeling and Repair (Home Based Business),Home Repair Services
"Home Repair Services | Preparation of License, Certificate or Permit Applications for Compensation (Expediter Company)",Home Repair Services
"Flooring and Window Install, Repair or Replace (Home Based Business) | Residential Remodeling and Repair (Home Based Business)",Home Repair Services
Carpet Cleaning Services | Retail Sales of General Merchandise,Home Repair Services
"Flooring and Window Install, Repair or Replace (Home Based Business) | Home Repair Services (Home Based Business) | Residential Cleaning (Home Based Business) | Residential Remodeling and Repair (Home Based Business)",Home Repair Services
Repair of Appliances or Household Goods,Home Repair Services
Home Repair Services | Residential Construction / Minor Home Repair Services | Roof Repair and Installation,Home Repair Services
Home Repair Services (Home Based Business) | Locksmith Services (Home Based Business),Home Repair Services
Commercial Janitorial Services | Residential Cleaning Services | Residential Construction / Minor Home Repair Services | Home Repair / Handy Man Services,Home Repair Services
Shoe / Leather Goods Repair | Retail Sales of Clothing / Accessories / Shoes,Home Repair Services
Home Repair Services | Roof Repair and Installation | Excavation Services,Home Repair Services
Board Up Services for Commercial Locations | Home Repair Services,Home Repair Services
Carpet Cleaning Services | Upholstery Cleaning/Repair - Offsite | Upholstery Cleaning/Repair - Onsite,Home Repair Services
Home Repair Services (Home Based Business) | Other Home Based Businesses | Power-Washing Service (Home Based Business) | Residential Cleaning (Home Based Business) | Residential Remodeling and Repair (Home Based Business),Home Repair Services
Carpet Cleaning Services | Commercial Janitorial Services | Miscellaneous Commercial Services | Residential Cleaning Services,Home Repair Services
Carpet Cleaning Services | Commercial Janitorial Services | Residential Cleaning Services,Home Repair Services
Interior Design / Consulting Services (Home Based Business) | Landscaping Services (Home Based Business) | Other Home Based Businesses | Power-Washing Service (Home Based Business) | Residential Remodeling and Repair (Home Based Business) | Snow Removal Service (Home Based Business),Home Repair Services
Carpet Cleaning Services | Retail Sales of Carpet and/or Flooring,Home Repair Services
Commercial Janitorial Services | Residential Cleaning Services | Property Management / Real Estate Management,Home Repair Services
"Home Repair Services (Home Based Business) | Preparation of License, Certificate or Permit Applications for Compensation / Expediter Company (Home Based Business)",Home Repair Services
"Window Washer, Vehicle Washer (Home Based Business)",Home Repair Services
Board Up Services for Residential Locations | Home Repair Services | Residential Construction / Minor Home Repair Services,Home Repair Services
Board Up Services for Commercial Locations | Roof Repair and Installation,Home Repair Services
Operation of a Laundry Service | Shoe / Leather Goods Repair,Home Repair Services
Home Repair Services | Excavation Services,Home Repair Services
Power-Washing Service (Home Based Business),Home Repair Services
"Flooring and Window Install, Repair or Replace (Home Based Business) | Home Repair Services (Home Based Business) | Power-Washing Service (Home Based Business) | Residential Remodeling and Repair (Home Based Business)",Home Repair Services
Home Repair Services | Residential Construction / Minor Home Repair Services | Roof Repair and Installation | Excavation Services,Home Repair Services
"Home Repair Services | Preparation of License, Certificate or Permit Applications for Compensation (Expediter Company) | Residential Construction / Minor Home Repair Services",Home Repair Services
Instruction in Art for Children Under 18 Years of Age | Rental of Location for Children's Birthday Parties | Training in Gymnastics for Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Music for Both Children and Adults (40% or More Children) | Retail Sales of General Merchandise and Non-Perishable Food,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (40% or More Children) | After School Program / Tutoring Children Under 18 Years of Age | Instruction in Dance for Both Children and Adults (40% or More Children),Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (40% or More Children) | Rental of Location for Children's Birthday Parties | Retail Sales of General Merchandise and Non-Perishable Food,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Music for Both Children and Adults (Less Than 40% Children),Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children) | Instruction in Music for Both Children and Adults (Less Than 40% Children) | Instruction in Dance for Both Children and Adults (Less Than 40% Children),Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children) | Retail Sales of General Merchandise | Sale of Art,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children) | Instruction in Art for Children Under 18 Years of Age | Retail Sales of General Merchandise and Non-Perishable Food,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Music for Both Children and Adults (40% or More Children) | Instruction in Music for Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Music for Both Children and Adults (40% or More Children) | Retail Sales of General Merchandise and Non-Perishable Food | After School Program / Tutoring Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (40% or More Children) | Instruction in Music for Both Children and Adults (40% or More Children) | Rental of Location for Children's Birthday Parties | Recreational Sports Facility for Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (40% or More Children) | Instruction in Music for Both Children and Adults (40% or More Children) | Rental of Location for Children's Birthday Parties | After School Program / Tutoring Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Dance for Both Children and Adults (40% or More Children),Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (40% or More Children) | Instruction in Music for Both Children and Adults (40% or More Children) | Rental of Location for Children's Birthday Parties | Instruction in Dance for Both Children and Adults (40% or More Children),Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Children Under 18 Years of Age | Instruction in Music for Children Under 18 Years of Age | Rental of Location for Children's Birthday Parties | After School Program / Tutoring Children Under 18 Years of Age | Instruction in Dance for Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children) | Retail Sales of General Merchandise and Non-Perishable Food | Sale of Art,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Music for Both Children and Adults (40% or More Children),Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Music for Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Children Under 18 Years of Age | Rental of Location for Children's Birthday Parties | Retail Sales of General Merchandise and Non-Perishable Food | Instruction in Dance for Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
"Instruction in Art for Children Under 18 Years of Age | Rental of Location for Children's Birthday Parties | Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Training in the Arts of Combat and Self-Defense for Both Adults and Children (40% or More Children) | After School Program / Tutoring Children Under 18 Years of Age",Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Children Under 18 Years of Age | Instruction in Music for Children Under 18 Years of Age | After School Program / Tutoring Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Music for Both Children and Adults (40% or More Children) | Instruction in Music for Children Under 18 Years of Age | Rental of Musical Instruments | Retail Sales of General Merchandise and Non-Perishable Food,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children),Instruction in Art for Both Children and Adults (Less Than 40% Children)
Clothing Alterations | Instruction in Art for Both Children and Adults (Less Than 40% Children) | Retail Sales of Clothing / Accessories / Shoes,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (40% or More Children) | Instruction in Music for Both Children and Adults (40% or More Children) | After School Program / Tutoring Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm | After School Program / Tutoring Children Under 18 Years of Age | Instruction in Dance for Children Under 18 Years of Age",Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (40% or More Children) | Instruction in Art for Children Under 18 Years of Age | Retail Sales of General Merchandise and Non-Perishable Food | After School Program / Tutoring Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Music for Both Children and Adults (40% or More Children) | Rental of Musical Instruments | Retail Sales of General Merchandise and Non-Perishable Food,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (40% or More Children) | Rental of Location for Children's Birthday Parties,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Children Under 18 Years of Age | Instruction in Music for Children Under 18 Years of Age | Rental of Location for Children's Birthday Parties | Retail Sales of General Merchandise and Non-Perishable Food | Training in Gymnastics for Children Under 18 Years of Age | After School Program / Tutoring Children Under 18 Years of Age | Instruction in Dance for Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Miscellaneous Commercial Services | Instruction in Dance for Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children) | Sale of Art,Instruction in Art for Both Children and Adults (Less Than 40% Children)
After School Program / Tutoring Children Under 18 Years of Age | Instruction in Dance for Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Children Under 18 Years of Age | Provide Amusement Devices for Children - Less Than 3 Devices | After School Program / Tutoring Children Under 18 Years of Age | Instruction in Dance for Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children) | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of General Merchandise,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (40% or More Children) | Instruction in Art for Children Under 18 Years of Age | Instruction in Music for Both Children and Adults (40% or More Children) | Rental of Location for Children's Birthday Parties | Retail Sales of General Merchandise and Non-Perishable Food,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (40% or More Children) | Retail Sales of General Merchandise and Non-Perishable Food,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children) | Miscellaneous Commercial Services | Retail Sales of General Merchandise,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children) | Miscellaneous Commercial Services,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Children Under 18 Years of Age | Retail Sales of General Merchandise,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Children Under 18 Years of Age | After School Program / Tutoring Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children) | Instruction in Dance for Both Children and Adults (Less Than 40% Children),Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Dance for Both Children and Adults (Less Than 40% Children),Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Children Under 18 Years of Age | Rental of Location for Children's Birthday Parties,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Dance for Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Dance for Children Under 18 Years of Age | Instruction in Dance for Both Children and Adults (40% or More Children),Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Music for Both Children and Adults (Less Than 40% Children) | Retail Sales of General Merchandise and Non-Perishable Food,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Children Under 18 Years of Age,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (40% or More Children),Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children) | Retail Sales of General Merchandise and Non-Perishable Food,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children) | Retail Sales of General Merchandise,Instruction in Art for Both Children and Adults (Less Than 40% Children)
Instruction in Art for Both Children and Adults (Less Than 40% Children) | Children's Activities Facilities,Instruction in Art for Both Children and Adults (Less Than 40% Children)
"Manufacturing of Signs | Miscellaneous Commercial Services | Retail Sales of General Merchandise and Non-Perishable Food | Manufacturing of Wood Products, Leather, or Paper Products | Manufacturing of Miscellaneous Items",Manufacturing of Miscellaneous Items
"Manufacturing of Medical Devices, Equipment and Supplies | Manufacturing of Miscellaneous Items",Manufacturing of Miscellaneous Items
"Manufacturing of Wood Products, Leather, or Paper Products | Retail Sales of General Merchandise",Manufacturing of Miscellaneous Items
Manufacturing of Computer and Electronic Products,Manufacturing of Miscellaneous Items
Manufacturing of Signs | Provide Graphic Design and Consultation Services,Manufacturing of Miscellaneous Items
Miscellaneous Commercial Services | Manufacturing of Miscellaneous Items,Manufacturing of Miscellaneous Items
"Manufacturing of Medical Devices, Equipment and Supplies",Manufacturing of Miscellaneous Items
"Manufacturing of Electrical Equipment and Components | Manufacturing of Home, Office, Military, Government Supplies | Manufacturing of Medical Devices, Equipment and Supplies | Manufacturing of Furniture or Household Goods | Manufacturing of Miscellaneous Items",Manufacturing of Miscellaneous Items
"Manufacturing of Plastics, Foams, Construction Materials, Glass, or Rubber | Retail Sales of General Merchandise and Non-Perishable Food",Manufacturing of Miscellaneous Items
Manufacturing of Electrical Equipment and Components | Miscellaneous Commercial Services,Manufacturing of Miscellaneous Items
Manufacturing of Machinery / Machine Parts,Manufacturing of Miscellaneous Items
"Manufacturing of Medical Devices, Equipment and Supplies | Manufacturing of Plastics, Foams, Construction Materials, Glass, or Rubber",Manufacturing of Miscellaneous Items
Registration of a Fast-Track Business Sign,Manufacturing of Miscellaneous Items
Manufacturing of Electrical Equipment and Components,Manufacturing of Miscellaneous Items
"Manufacturing of Wood Products, Leather, or Paper Products | Manufacturing of Furniture or Household Goods",Manufacturing of Miscellaneous Items
"Wholesale Jewelry, Watches and Accessories | Manufacturing of Miscellaneous Items",Manufacturing of Miscellaneous Items
"Manufacturing of Drugs or Chemicals | Manufacturing of Home, Office, Military, Government Supplies",Manufacturing of Miscellaneous Items
Operate a Machine Shop / Foundry | Retail Sales of General Merchandise | Manufacturing of Miscellaneous Items,Manufacturing of Miscellaneous Items
Operate a Machine Shop / Foundry | Manufacturing of Miscellaneous Items,Manufacturing of Miscellaneous Items
"Manufacturing of Wood Products, Leather, or Paper Products | Manufacturing of Miscellaneous Items",Manufacturing of Miscellaneous Items
Operate a Machine Shop / Foundry | Manufacturing of Furniture or Household Goods | Manufacturing of Miscellaneous Items,Manufacturing of Miscellaneous Items
"Manufacturing of Jewelry / Watches | Manufacturing of Wood Products, Leather, or Paper Products",Manufacturing of Miscellaneous Items
"Manufacturing of Plastics, Foams, Construction Materials, Glass, or Rubber | Manufacturing of Miscellaneous Items",Manufacturing of Miscellaneous Items
Manufacturing of Signs | Manufacturing of Computer and Electronic Products,Manufacturing of Miscellaneous Items
"Wholesale Jewelry, Watches and Accessories",Manufacturing of Miscellaneous Items
Manufacturing of Jewelry / Watches,Manufacturing of Miscellaneous Items
"Manufacturing of Home, Office, Military, Government Supplies",Manufacturing of Miscellaneous Items
Manufacturing of Drugs or Chemicals,Manufacturing of Miscellaneous Items
Manufacturing of Vehicle Parts and Supplies,Manufacturing of Miscellaneous Items
Manufacturing of Jewelry / Watches | Retail Sales of Jewelry and Jewelry Repair,Manufacturing of Miscellaneous Items
"Retail Sales of Jewelry and Jewelry Repair | Wholesale Jewelry, Watches and Accessories",Manufacturing of Miscellaneous Items
Operate a Machine Shop / Foundry,Manufacturing of Miscellaneous Items
"Manufacturing of Plastics, Foams, Construction Materials, Glass, or Rubber",Manufacturing of Miscellaneous Items
Manufacturing of Signs,Manufacturing of Miscellaneous Items
"Manufacturing of Wood Products, Leather, or Paper Products",Manufacturing of Miscellaneous Items
"Miscellaneous Commercial Services | Manufacturing of Wood Products, Leather, or Paper Products",Manufacturing of Miscellaneous Items
Manufacturing of Miscellaneous Items,Manufacturing of Miscellaneous Items
Medical Billing (Home Based Business),Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
"Provide 4 or More Parking Spaces For a Fee - Available and Advertised to the Public | Provide 4 or More Parking Spaces For a Fee - to Residents, Tenants, Users, Employees and/or Guests (Not Available or Advertised to the Public)",Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
"Platform to Connect Guests With Short Term Residential Rental Providers; Lists1,000 or More Shared Housing Units on Platform",Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Hotel - 7 or More Sleeping Rooms  | Retail Sales of General Merchandise and Non-Perishable Food,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Assisted Living Establishment,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Operation of a Health Club | Hotel - 7 or More Sleeping Rooms  | Provide Full Body Massage Services | Operation of a Tanning Facility,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
"Bed and Breakfast Establishment, Owner-Occupied, 11 or Fewer Sleeping Rooms Available for Rent for Transient Occupancy by Registered Guests",Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Provide 4 or More Parking Spaces For a Fee - Available and Advertised to the Public - Entertainment Garage,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Operation of a Health Club | Hotel - 7 or More Sleeping Rooms,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
"Operation of an Administrative Commercial Office | Provide 4 or More Parking Spaces For a Fee - to Residents, Tenants, Users, Employees and/or Guests (Not Available or Advertised to the Public)",Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Provide Home Health Care Services | Miscellaneous Commercial Services,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Operation of Single Room Occupancy Building,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Hotel - 7 or More Sleeping Rooms  | Provide Full Body Massage Services,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Long Term Care Facility | Storage or Use of Hazardous Materials,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Provide Home Health Care Services | Operation of an Administrative Commercial Office,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Operation of a Health Club | Hotel - 7 or More Sleeping Rooms  | Provide Full Body Massage Services,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Assisted Living Establishment | Long Term Care Facility,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Vacation Rental Building Containing Two to Four Dwelling Units For Transient Occupancy | Vacation Rental - Commissioner's Adjustment,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Vacation Rental Building Containing Five or More Dwelling Units For Transient Occupancy,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Vacation Rental Building of a Dwelling Unit That is a Single Family Home,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Operation of a Health Club | Hotel - 7 or More Sleeping Rooms  | Retail Sales of General Merchandise and Non-Perishable Food,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Provide 4 or More Parking Spaces For a Fee - Available and Advertised to the Public,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Vacation Rental - Approved Prior to House Share Ordinance,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Shared Housing Operator - Host of More Than One Shared Housing Unit,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Long Term Care Facility,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Provide Home Health Care Services (Home Based Business),Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Vacation Rental Building Containing Two to Four Dwelling Units For Transient Occupancy,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
"Provide 4 or More Parking Spaces For a Fee - to Residents, Tenants, Users, Employees and/or Guests (Not Available or Advertised to the Public)",Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Hotel - 7 or More Sleeping Rooms,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
"Provide 4 or More Parking Spaces For a Fee - to Residents, Tenants, Users, Employees and/or Guests (Not Available or Advertised to the Public) | Retail Sales of General Merchandise and Non-Perishable Food",Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Platform to Connect Guests With Short Term Residential Rental Providers; Lists 500 - 999 Shared Housing Units on Platform,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
"Provide 4 or More Parking Spaces For a Fee - to Residents, Tenants, Users, Employees and/or Guests (Not Available or Advertised to the Public) | Administrative office for Towing Services",Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Hotel - 7 or More Sleeping Rooms  | Provide Full Body Massage Services | Storage or Use of Hazardous Materials,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Hotel - 7 or More Sleeping Rooms  | Storage or Use of Hazardous Materials,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Vacation Rental - Commissioner's Adjustment,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Provide 4 or More Parking Spaces For a Fee - Available and Advertised to the Public | Retail Sales of General Merchandise and Non-Perishable Food | Operation of a Self Storage Facility,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
"Provide 4 or More Parking Spaces For a Fee - to Residents, Tenants, Users, Employees and/or Guests (Not Available or Advertised to the Public) | Retail Sales of General Merchandise and Non-Perishable Food | Operation of a Self Storage Facility",Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Miscellaneous Commercial Services | Provide 4 or More Parking Spaces For a Fee - Available and Advertised to the Public,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Provide Adult Day Care Services,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
"Adult Family Care Center (9 to 11 Adults, 55 Years and Older)",Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
"Provide 4 or More Parking Spaces For a Fee - Available and Advertised to the Public | Provide 4 or More Parking Spaces For a Fee - to Residents, Tenants, Users, Employees and/or Guests (Not Available or Advertised to the Public) | Retail Sales of General Merchandise and Non-Perishable Food",Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Medical Billing (Home Based Business) | Other Home Based Businesses,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Provide Home Health Care Services,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Provide 4 or More Parking Spaces For a Fee - Available and Advertised to the Public | Operation of a Self Storage Facility | Retail Sales of General Merchandise,Markets / Promotes Pharmaceuticals to Health Care Professionals and Conducts Business for More than 15 Calendar Days per Year
Exterminator / Pest Control Services,Miscellaneous Commercial Services
Provide Advertising or Marketing Services | Provide Photography or Videography Services,Miscellaneous Commercial Services
Photography Services | Provide Graphic Design and Consultation Services | Provide Advertising or Marketing Services,Miscellaneous Commercial Services
Provide Financial and Accounting Services | Operation of a Financial Services Commercial Office,Miscellaneous Commercial Services
Provide Graphic Design and Consultation Services | Provide Advertising or Marketing Services | Miscellaneous Commercial Services | Provide Computer Design/Development Consulting | Enagage in Multi-Media Services,Miscellaneous Commercial Services
Miscellaneous Commercial Services | Provide Window Tinting Services | Provide Auto Detailing Services,Miscellaneous Commercial Services
Miscellaneous Commercial Services | Operation of a Financial Services Commercial Office,Miscellaneous Commercial Services
Provide Advertising or Marketing Services | Enagage in Multi-Media Services,Miscellaneous Commercial Services
Miscellaneous Commercial Services | Moving Company,Miscellaneous Commercial Services
Provide Financial and Accounting Services | Miscellaneous Commercial Services | Operation of a Financial Services Commercial Office,Miscellaneous Commercial Services
Provide Graphic Design and Consultation Services | Provide Publishing Services | Enagage in Multi-Media Services,Miscellaneous Commercial Services
Provide Graphic Design and Consultation Services | Provide Advertising or Marketing Services | Provide Publishing Services | Provide Computer Design/Development Consulting | Enagage in Multi-Media Services,Miscellaneous Commercial Services
Provide Graphic Design and Consultation Services | Miscellaneous Commercial Services | Provide Computer Design/Development Consulting | Enagage in Multi-Media Services,Miscellaneous Commercial Services
Provide Graphic Design and Consultation Services | Provide Computer Design/Development Consulting | Enagage in Multi-Media Services | Web / Software Development,Miscellaneous Commercial Services
Provide Business and Management Consulting | Provide Graphic Design and Consultation Services | Provide Advertising or Marketing Services | Enagage in Multi-Media Services,Miscellaneous Commercial Services
